,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
0,Volkswagen,HIGHLINE1.2L,493000,2016,Hyderabad,Petrol,80912,Manual,2,9638
1,Hyundai,MAGNA 1.2,432000,2013,Hyderabad,Petrol,35740,Manual,2,8446
2,Hyundai,1.6 VTVT SX,660000,2017,Hyderabad,Petrol,45993,Manual,1,12903
3,Renault,CLIMBER AMT 1.0,619000,2022,Hyderabad,Petrol,9183,Automatic,1,12102
4,Maruti,VXI,684000,2019,Hyderabad,Petrol,24632,Manual,1,13372
5,Maruti,VXI,698000,2020,Hyderabad,Petrol,88118,Manual,1,13646
6,Tata,XZ PLUS 2.0L,1965000,2022,Hyderabad,Diesel,24989,Manual,1,37402
7,Maruti,VDI ABS,559000,2016,Hyderabad,Diesel,95745,Manual,3,10929
8,Maruti,VXI+,556000,2016,Hyderabad,Petrol,75694,Manual,2,10870
9,Maruti,VXI,409000,2014,Hyderabad,Petrol,94540,Manual,1,7996
10,Maruti,VXI,261000,2011,Hyderabad,Petrol,106094,Manual,1,5103
11,Maruti,ZXI PLUS,673000,2019,Hyderabad,Petrol,64001,Manual,2,13157
12,Maruti,VXI,523000,2016,Hyderabad,Petrol,87113,Manual,1,10225
13,Maruti,VXI,483000,2014,Hyderabad,Petrol,61819,Manual,1,9443
14,Honda,S MT,450000,2017,Hyderabad,Petrol,22180,Manual,1,8798
15,Maruti,VXI PLUS,409000,2020,Hyderabad,Petrol,44355,Manual,1,7996
16,Honda,1.5L I-DTEC V,853000,2018,Hyderabad,Diesel,75410,Manual,1,16236
17,Maruti,VXI,392000,2012,Hyderabad,Petrol,53072,Manual,1,7664
18,Maruti,VXI,342000,2012,Hyderabad,Petrol,29994,Manual,2,6686
19,Renault,1.0 MARVEL CAPTAIN AMERICA EDITION AMT,403000,2018,Hyderabad,Petrol,74390,Automatic,2,7879
20,Ford,TITANIUM 1.5L DIESEL,697000,2017,Hyderabad,Diesel,88695,Manual,1,13626
21,MG,SHARP 1.5 DCT PETROL,1537000,2020,Hyderabad,Petrol,54951,Automatic,1,29255
22,Tata,XT PETROL,450000,2018,Hyderabad,Petrol,44315,Manual,1,8798
23,Hyundai,MAGNA AMT,486000,2019,Hyderabad,Petrol,37446,Automatic,1,9501
24,Maruti,VXI,403000,2013,Hyderabad,Petrol,36577,Manual,3,7879
25,Nissan,XV PETROL,254000,2012,Hyderabad,Petrol,95802,Manual,1,4966
26,Mahindra,W8,896000,2016,Hyderabad,Diesel,87604,Manual,1,17055
27,Maruti,DELTA PETROL 1.2,656000,2019,Hyderabad,Petrol,63840,Manual,2,12825
28,Volkswagen,HIGHLINE1.5L,617000,2017,Hyderabad,Diesel,34661,Manual,1,12062
29,Maruti,ZETA 1.2 K12,723000,2020,Hyderabad,Petrol,39752,Manual,2,14135
30,Mahindra,CRDE 4X4 AC,751000,2018,Hyderabad,Diesel,90305,Manual,2,14682
31,Ford,TITANIUM 1.5L DIESEL,529000,2016,Hyderabad,Diesel,100601,Manual,2,10342
32,Maruti,ZXI AT,667000,2016,Hyderabad,Petrol,43901,Automatic,1,13040
